customer_id,name,email,phone,address,city,state,zip_code,registration_date,loyalty_score
bdd640fb,Michael Stephens,amy29@example.com,642-970-3120x7356,"7441 Richardson Harbor, Cruzville, NH 55144",Martinbury,Indiana,15036,2024-03-14,3.2
23b8c1e9,Heather Sanders,patricia00@example.org,(470)551-2046x187,"47196 Beverly Bypass, Williamsstad, DC 61830",New Laura,Indiana,96885,2022-03-13,0.13
bd9c66b3,Bryan Charles,ksmith@example.com,560-913-6730x371,"0258 Michael Squares Suite 812, West Diana, OK 44972",North Tricia,Alabama,72531,2021-05-26,1.38
972a8469,Matthew May,bsmith@example.org,(245)520-8814x7435,"4617 Estes Rest, New Jeanette, NY 86865",Johnsonburgh,Iowa,03109,2024-02-15,1.12
17fc695a,Alison Buchanan,nicoleturner@example.com,836-550-2491,"599 Silva Village, Jonestown, PR 96560",East Zachary,Alaska,07973,2024-05-22,3.68
9a1de644,Cameron Cunningham,penajohn@example.com,4099792513,"177 Wolf Trail, North Rachel, HI 95942",Lake Belindaborough,Iowa,29250,2021-07-08,3.38
b74d0fb1,Phillip Clark,brettgarrett@example.net,495-900-5281,"09410 Scott Landing Apt. 251, Grayshire, OH 26680",East David,Illinois,57122,2023-10-21,4.46
6b65a6a4,Sergio Murphy,rubendavis@example.org,458.657.3065,"4332 Cervantes Valleys Apt. 190, East Arthurberg, MH 01187",North Jacobburgh,Kentucky,55845,2022-06-27,0.43
47378190,Steven Smith,lewischristian@example.net,4777848739,"815 Faith Stream Suite 339, Masonstad, RI 73730",North Bryanhaven,Nebraska,54217,2024-09-28,2.11
c241330b,Brianna Anderson,aprilwallace@example.org,974-298-2182x74485,"6619 David Path, Craigfort, IN 07248",Murrayfurt,New Jersey,03245,2024-10-28,0.15
6c307511,Christopher Guerrero,lisa62@example.com,001-986-420-9593x51863,"34465 Monique Estate Suite 189, Port April, RI 66043",North Reneehaven,New Hampshire,97166,2022-04-12,1.09
371ecd7b,Adrian Tyler,perezchristopher@example.org,+1-245-565-1181x022,"197 Delgado Bypass, Robertborough, MA 08285",Espinozaville,California,90703,2023-02-17,2.53
